SLUG,PROMOTED_RUN_TITLE,ORGANISATION_TITLE,BUSINESS_MODEL,COUNT_UNIT_ENROLEMENT,UNLIMITED_ENRLEMENTS
research-design-methods01,"Approaching Research: Philosophy, Methodology, Design",Anglia Ruskin University,NoPurchase,52,0
premiers-secours-psychologiques-version-pour-lafrique,Premiers secours Psychologiques: Version pour l’Afrique,Public Health England,SponsoredAccess,430,0
hnd701-fl5,HND701.5 Microvascular Complications,Deakin University,NoPurchase,1003,0
aim-higher,Aim Higher: Access to Higher Education for Refugees and Asylum Seekers,Cambridge Assessment English,NoPurchase,2321,0
dsp-digitalfundamentals,Digital Skills: Digital Fundamentals (New Joiners-Demo),Accenture Skills to Succeed,NoPurchase,625,0
research-construction-management-oc,Research for Construction Management,Coventry University,NoPurchase,27,0
chinese-drama-injustice-to-dou-e,Discover Chinese Drama: Understanding 'The Injustice to Dou E',National Chiao Tung University,UpgradedAccess,1149,80
dsp-userexperience-vsu,Digital Skills: User Experience,Accenture Skills to Succeed and Virgin StartUp,SponsoredAccess,156,0
sit704-4,SIT704.4 Web Server Security,Deakin University,NoPurchase,238,0
introduction-to-brand-strategy,Strategic Brand Management with Advertising Week,Advertising Week,ExpertTrackAccess,86,0
owasp-top-10-security-fundamentals,Advanced Cyber Security Training: OWASP Top 10 and Web Application Fundamentals,EC-Council,ExpertTrackAccess,82,0
makerspaces-for-learning,Makerspaces for Creative Learning,The University of Sheffield,UpgradedAccess,532,30
healthcare-research-healthcare-professionals,Healthcare Research: For Healthcare Professionals,Coventry University,NoPurchase,3,0
entrepreneurship-and-leadership-c1,Entrepreneurship and Leadership (C1),Coventry University,NoPurchase,133,0
changing-geography-of-economic-globalisation,The Changing Geography of Economic Globalisation,Coventry University,NoPurchase,52,0
introduction-to-curriculum-design-secondary-science,Curriculum Design for Secondary School Science,National STEM Learning Centre,PaidForAccess,2951,94
psychology-of-learning-secondary,Psychology of Learning,Coventry University,NoPurchase,188,0
sit703-3,SIT703.3 Analysing the Computer,Deakin University,NoPurchase,240,0
quality-operations-management-project-supply-chain-management,Project & Supply Chain Management: Leading & Directing Projects & Teams to Achieve Operational and Organizational Results,Swiss Education Group,NoPurchase,5,0
21st-century-diplomacy,Diplomacy in the 21st Century,The Open University,SponsoredAccess,864,0
explore-english-language-culture-private,Exploring English: Language and Culture - Private,British Council,SponsoredAccess,135,0
gardening-for-beginners-how-to-grow-plants-and-nurture-them-part-two-,How to Grow Healthy Plants,BBC Gardeners' World Magazine,ExpertTrackAccess,70,0
teaching-functional-skills-maths,Teaching Functional Skills Maths,Education and Training Foundation (ETF),SponsoredAccess,213,0
mmp713-5,MMP713.5 Income Capitalisation and Discounted Cash Flow Analysis,Deakin University,NoPurchase,126,0
feature-engineering,Data Analytics and Data Mining: Feature Engineering,Dublin City University,NoPurchase,105,0
engl1650-4,ENGL1650.4,The University of Newcastle Australia,NoPurchase,287,0
engl3012-3,ENGL3012.3 Hard-Boiled Crime Fiction,The University of Newcastle Australia,NoPurchase,62,0
matching-context-and-content-c2,Matching Context and Content (C2),Coventry University,NoPurchase,10,0
strategic-planning,Strategic Planning – Where do you Start?,Coventry University,NoPurchase,26,0
fundamentals-of-leadership-theory-c,Leadership Theory: The Basics (C),Coventry University,NoPurchase,58,0
7000smm-04-a,Adaptation and Standardisation in Global Marketing (A),Coventry University,NoPurchase,23,0
7069exq-05,Writing up and Presentation,Coventry University,NoPurchase,74,0
independent-research-project-literature-review-cmbim-oc,Independent Research Project: Literature Review (CMBIM),Coventry University,NoPurchase,6,0
foundation-of-information-technology-in-education,Teaching and Learning with Information and Communication Technology,Hong Kong Baptist University,NoPurchase,51,0
diversity-in-organisations-a,Diversity in Organisations (A),Coventry University,NoPurchase,44,0
configurationmanagement,Microsoft Future Ready: How To Run Containers In A DevOps Production Environment,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,23,0
concepts-of-governance-and-institutions-in-policy-a,Concepts of Governance and Institutions in Policy (A),Coventry University,NoPurchase,14,0
foundations-in-dementia-private,Foundations in Dementia,The University of Nottingham,UpgradedAccess,6,0
bond-markets,Bond Markets,Dublin City University,UpgradedAccess,9,0
collecting-data,Collecting Data,Coventry University,NoPurchase,12,0
customer-experience-design-developing-a-customer-journey,Customer Experience Design: Developing a Customer Journey,Swiss Education Group,NoPurchase,8,0
m003lon-05,m003lon-05,Coventry University,UpgradedAccess,0,0
m198lon-01,An Introduction to the Digital Media Landscape and Branding,Coventry University,NoPurchase,9,0
blockchain-and-cryptocurrencies-bs601a,Blockchain and Cryptocurrencies BS601a,Dublin City University,NoPurchase,17,0
digital-collaborative-learning,Digital and Collaborative Teaching and Learning,The Mind Lab,NoPurchase,9,0
maternal-critical-care-training,Maternal Critical Care Training,The University of Nottingham,UpgradedAccess,2,0
attention-deficit-hyperactivity-disorder-adhd-,Introduction to ADHD: What it is and How it’s Treated,Universidad de Palermo,UpgradedAccess,0,0
dsp-mobility-vsu-private,Digital Skills: Mobility,Accenture Skills to Succeed and Virgin StartUp,NoPurchase,1,0
exploring-lgbtqia-activism-advocacy-and-allyship-with-indya-moore,"TBC Exploring LGBTQIA+ activism, advocacy and allyship with Indya Moore",Tommy Hilfiger,UpgradedAccess,2,0
you-the-entrepreneur-oc,"You, the Entrepreneur",Coventry University,NoPurchase,0,0
orgbehaviour-eoccs5,Human Resource Development and Learning - EOCCS,Coventry University,UpgradedAccess,2,0
forest-economics-and-policy-in-non-tropical-contexts,"Forest Management: Economics, Policy and Sustainability",University of Padova,UpgradedAccess,0,0
gui-espanol,TBC GUI Español,Universidad de Palermo,ExpertTrackAccess,2,0
innovation,Innovation,Coventry University,UpgradedAccess,1,0
cloudswyft-msft-advanced-c-plusplus,Microsoft Future Ready: Advanced C++,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,0,0
antimicrobial-stewardship,Antimicrobial Stewardship,University of Dundee,UpgradedAccess,66909,195
big-data-machine-learning,Big Data: Statistical Inference and Machine Learning,Queensland University of Technology,UpgradedAccess,34420,4
workplace-empowerment,Modern Empowerment in the Workplace,The Open University,UpgradedAccess,7439,66
english-for-healthcare,English for Healthcare,King's College London,SponsoredAccess,71907,0
brand-storytelling,Storytelling in Advertising,D&AD,NoPurchase,38278,0
programming-103-data,Programming 103: Saving and Structuring Data,Raspberry Pi Foundation,UpgradedAccess,13581,308
sit752-fl2,SIT752.2 Matching Your Skills to a Professional Standard,Deakin University,NoPurchase,480,0
disease-outbreaks,Disease Outbreaks in Low and Middle Income Countries,London School of Hygiene & Tropical Medicine,UpgradedAccess,13159,184
level-3-safeguarding-adults,Safeguarding Adults: Level 3 Training,Health Education England,SponsoredAccess,80075,0
climate-from-space,Monitoring Climate from Space,European Space Agency,NoPurchase,19976,0
wellbeing-and-resilience-at-work,Wellbeing and Resilience at Work,University of Leeds,ExpertTrackAccess,29992,0
heart-health,Heart Health: A Beginner's Guide to Cardiovascular Disease,University of Reading,UpgradedAccess,62440,229
social-science-for-tackling-antimicrobial-resistance,Tackling Antimicrobial Resistance: A Social Science Approach,BSAC,UpgradedAccess,2318,103
supply-chain-innovation,Supply Chain Innovation,University of Twente,UpgradedAccess,21562,144
leadership-coaching,Leadership Coaching through Turbulent Times,Queensland University of Technology,UpgradedAccess,13068,106
preparing-for-a-pgce,Preparing for a PGCE,The University of Warwick,UpgradedAccess,5751,140
volume-shadow-copy-memory-remote-evidence,"Volume Shadow Copy, Memory and Remote Evidence",Coventry University,NoPurchase,42,0
superpowers-near-east,Superpowers of the Ancient World: the Near East,University of Liverpool,UpgradedAccess,15505,4
innovation-and-enterprise-shape-your-world,Innovation and Enterprise,University of Bristol,NoPurchase,67,0
future-food,Future Food: Sustainable Food Systems for the 21st Century,University of Exeter,UpgradedAccess,10461,304
maths-linear-quadratic,"Maths for Humans: Linear, Quadratic & Inverse Relations",UNSW Sydney,NoPurchase,8802,0
musculoskeletal-health,Musculoskeletal Health: A Public Health Approach,Public Health England,UpgradedAccess,647,52
bushfires,"Bushfires: Response, Relief and Resilience",The University of Newcastle Australia,SponsoredAccess,8454,23
valuing-nature-should-we-put-a-price-on-ecosystems,Valuing Nature,University of Exeter,UpgradedAccess,8538,299
transport-systems-global-issues-and-future-innovations,Transport Systems: Global Issues and Future Innovations,University of Leeds,UpgradedAccess,7636,165
lumos-transforming-care,A Short Introduction to Transforming Care,Lumos,SponsoredAccess,572,0
global-context-a,Global Context (A),Coventry University,NoPurchase,72,0
construct-a-virtual-reality-experience,Construct a Virtual Reality Experience,Lancaster University,UpgradedAccess,786,39
stem-ambassador-induction-london,STEM Ambassadors Induction - London,STEM Ambassadors,SponsoredAccess,997,0
curriculum-design,Curriculum Design – May '21,Coventry University,NoPurchase,485,0
adh714-2,ADH714.2 Putting Gender and Development Together,Deakin University,NoPurchase,140,0
divisional-performance-c-ibm,Divisional Performance (IBM),Coventry University,NoPurchase,88,0
ethics-corporate-social-responsibility-international-business,Ethics and Corporate Social Responsibility in International Business,Coventry University,NoPurchase,13,0
children-with-developmental-disabilities,Integrated Healthcare for Children with Developmental Disabilities,London School of Hygiene & Tropical Medicine,UpgradedAccess,7715,142
uk-parliament-petitions,UK Parliament Explored: Petitions,UK Parliament,UpgradedAccess,1781,0
international-foundation-programme-in-law-the-first-step-towards-your-future-successful-career,Introduction to Studying Law,The University of Law,UpgradedAccess,3735,71
process-mining-healthcare,Process Mining in Healthcare,Eindhoven University of Technology,UpgradedAccess,4246,65
hist3640-1,HIST3640.1: Fascism Emerges,The University of Newcastle Australia,NoPurchase,39,0
speak-like-thai-people,Let's Learn Thai Language,Universiti Malaya,UpgradedAccess,2555,56
divisional-performance-c1,Divisional Performance (C),Coventry University,NoPurchase,46,0
us-anti-black-racism,U.S. Anti-Black Racism,University of Connecticut,UpgradedAccess,1370,117
global-context-cyber,Global Context.,Coventry University,NoPurchase,23,0
engl2011-4,ENGL2011.4: First Nations and Eco-Criticism,The University of Newcastle Australia,NoPurchase,112,0
research-methods-for-mental-health-in-war-and-conflict,Research Methods for Mental Health in War and Conflict,King's College London,NoPurchase,91,0
extremism-teach-out,Understanding and Addressing Extremism Teach-Out,University of Michigan,SponsoredAccess,949,0
introduction-data-to-analysis-using-msft-excel,How to Use Microsoft Excel for Data Analysis,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,190,0
the-personal-consumer,The Personal Consumer,Coventry University,NoPurchase,91,0
cisco-devops-using-devnet,Cisco: DevOps using DevNet,The Open University,NoPurchase,38,0
understanding-marketing-basics,Understanding Marketing Basics,The University of Kent,ExpertTrackAccess,44,0
stem-learning-fdp-online-facilitator,FDP: Online facilitator module,National STEM Learning Centre,SponsoredAccess,45,0
icy-moons-and-exoplanets,Icy Moons and Exoplanets,FutureLearn,ExpertTrackAccess,6,0
designing-effective-training,Designing Effective Training,Coventry University,NoPurchase,83,0
system-analysis-and-design,System Analysis and Design,Coventry University,NoPurchase,68,0
decision-making-and-communication-strategies-c,Decision-making Approaches and Techniques (C),Coventry University,NoPurchase,57,0
leading-people-and-teams-capstone,Leading People and Teams Capstone,University of Michigan,ExpertTrackAccess,27,0
engl3012-4,ENGL3012.4 Glocal Crime Fiction,The University of Newcastle Australia,NoPurchase,58,0
project-initiation-and-defining-the-project,Project Initiation and Defining the Project,Anglia Ruskin University,NoPurchase,116,0
capital-investment-appraisal-et,How to Make Better Capital Investment Decisions and Recognise Investment Opportunities,Coventry University,ExpertTrackAccess,38,0
hospital-clinical-governance-4,"HME714.4 Clinical Governance in Hospital, Satellite and Associated Services",Deakin University,NoPurchase,32,0
key-ideas-in-mentoring-mathematics-teachers,Key Ideas in Mentoring Mathematics Teachers,UCL (University College London) ,UpgradedAccess,303,7
competitive-edge-customer-experience-ai,Using AI to Gain a Competitive Edge for your Customer Experience (CX),Critical Mass,UpgradedAccess,101,3
7107exq-03-c,Project Evaluation and Quality Management in Construction Project Management (C),Coventry University,NoPurchase,16,0
hist2002-3,HIST2002.3: Approaches to History,The University of Newcastle Australia,NoPurchase,95,0
securing-your-network-from-attacks,Advanced Cyber Security Training: Network Security,EC-Council,ExpertTrackAccess,105,0
designing-and-implementing-data-science-solution-on-azure-r,Microsoft Future Ready: Designing and Implementing a Data Science Solution on Azure,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,10,0
person-centred-care-oc,Person-centred Care,Coventry University,NoPurchase,19,0
7031hrm-06,7031HRM-06,Coventry University,UpgradedAccess,0,0
anti-racist-technologies,Anti-Racist Approaches in Technology,UAL Creative Computing Institute,ExpertTrackAccess,13,0
develop-in-swift-fundamentals-build-your-app,TBC Develop in Swift Fundamentals: Build Your App,FutureLearn,UpgradedAccess,0,0
cloudswyft-msft-continuous-integration-and-continuous-deployment,Microsoft Future Ready: Continuous Integration Implementation,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,26,0
cloudswyft-msft-introduction-to-devdps-practices,Microsoft Future Ready: Fundamentals of DevOps and Azure Pipeline,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,35,0
networking-elevator-pitches-interviews,"Networking, Elevator Pitches and Interviews",Coventry University,NoPurchase,21,0
7107exq-04,"Fundamentals of Budgeting, Project Control and Earned Value",Coventry University,NoPurchase,29,0
adh790-4,ADH790.4 Towards Solutions,Deakin University,NoPurchase,25,0
international-operations-management-oc,International Operations Management,Coventry University,NoPurchase,3,0
applying-agile-to-different-business-contexts,How to Apply Agile to Business Contexts,FutureLearn,ExpertTrackAccess,21,0
explaining-process,Explaining a process,Coventry University,UpgradedAccess,5,0
dsp-retail-ne-lep,Digital Skills: Retail,Accenture Skills to Succeed and North East Local Enterprise Partnership ,NoPurchase,7,0
queryingdatawithtransactsql-r,Microsoft Future Ready: Data Query with Transact-SQL (Data Science using R),"CloudSwyft Global Systems, Inc.",UpgradedAccess,0,0
7066exq-05,Integrated Project – Construction,Coventry University,UpgradedAccess,0,0
build-it-how-games-build-and-maintain-communities,How to Understand the Gaming Audience,D&AD,ExpertTrackAccess,4,0
data-science-healthcare-russian,Data Science for Healthcare: Using Real World Evidence - Russian,EIT,UpgradedAccess,1,0
sample-course-a-amity,Sample Course A1,Amity University,NoPurchase,0,0
f,Freshfields Commercial Programme,Saïd Business School,NoPurchase,0,0
test-course-23456,test,Coventry University,UpgradedAccess,0,0
brand-strategy-communication,Brand Strategy and Communication,Ravensbourne University London,ExpertTrackAccess,0,0
m003lon-03,m003lon-03,Coventry University,UpgradedAccess,0,0
migration-supply-chain-management-cash-transfer-programming-oc,"Migration, Supply Chain Management and Cash Transfer Programming",Coventry University,NoPurchase,0,0
principles-management-leadership-healthcare-a2,Introduction to the Principles of Management and Leadership in Healthcare (A2),Coventry University,UpgradedAccess,0,0
food-and-beverage-revenue-and-value-creation,Food and Beverage Management 1: Food and Beverage Revenue and Value Creation,Swiss Education Group,NoPurchase,0,0
training-and-development-at-work,Training and Development at Work: An Introduction,Coventry University,UpgradedAccess,0,0
social-media-strategy-implementing-analysing-and-reporting,"TBC Social Media Strategy – Implementing, Analysing and Reporting",Social Media College,UpgradedAccess,0,0
crime-justice-society,"Crime, Justice and Society",The University of Sheffield,UpgradedAccess,31870,6
data-to-insight,Data to Insight,The University of Auckland,UpgradedAccess,93020,203
programming-102-think-like-a-computer-scientist,Programming 102: Think Like a Computer Scientist,Raspberry Pi Foundation,UpgradedAccess,22404,430
decision-making-how-to-choose-the-right-problem-to-solve,Decision Making: How to Choose the Right Problem to Solve,University of Leeds,ExpertTrackAccess,34753,0
successful-ageing,Strategies for Successful Ageing,Trinity College Dublin,UpgradedAccess,37049,19
introduction-to-journalism,Introduction to Journalism,University of Strathclyde,NoPurchase,30882,0
what-drives-the-body,What Drives the Body?,University of Aberdeen,UpgradedAccess,9362,207
thinking-through-disability,Disability and a Good Life: Thinking through Disability,UNSW Sydney,NoPurchase,7731,0
motivation-engagement-in-an-uncertain-world-standalone-course,Motivation and Engagement in an Uncertain World,Coventry University,UpgradedAccess,421,49
climate-change-public-health,The Impact of Climate Change on Public Health,EIT InnoEnergy,UpgradedAccess,2529,2
the-impact-of-nursing,The Impact of Nursing,University of Liverpool,NoPurchase,6411,0
electrical-engineering,Electrical Engineering,University of Birmingham,UpgradedAccess,13321,68
protecting-children-during-covid-19,Protecting Children during COVID-19 and other Infectious Disease Outbreaks,The Alliance for Child Protection in Humanitarian Action ,SponsoredAccess,6279,0
school-for-change-agents,The School for Change Agents,NHS Leadership Academy ,UpgradedAccess,11322,169
design-thinking-in-health-and-social-care,Creative Problem Solving: Design Thinking in Health and Social Care,"St George's, University of London",UpgradedAccess,5858,282
business-environment,The Global Business Environment,Coventry University,UpgradedAccess,3112,75
gds-content-writing,Government Digital Service,"Foreign, Commonwealth & Development Office",SponsoredAccess,151,0
de-mystifying-mindfulness,Demystifying Mindfulness,Leiden University,UpgradedAccess,19063,579
water-scarcity,Water Scarcity: Crisis and Response,Colorado State University,UpgradedAccess,3860,8
raising-capital,"Raising Capital: Credit Tech, Coin Offerings, and Crowdfunding",University of Michigan,ExpertTrackAccess,3000,86
power-dressing-in-the-zoom-era,Power Dressing in the Zoom Era,The Hopenclass,UpgradedAccess,2566,80
organisational-development-and-change-management,Organisational Development and Change Management,The University of Glasgow,NoPurchase,202,0
york-university-life-pg,University Life at York: Postgraduate,University of York,NoPurchase,349,0
mocap-local,Motion Capture,University of Oslo,NoPurchase,9,0
nature-connectedness-derby,Nature Connectedness with the University of Derby,University of Derby ,UpgradedAccess,536,46
leadership-and-you,Leadership and You,Coventry University,NoPurchase,105,0
hands-on-password-attacks-and-security,Advanced Cyber Security Training: Hands-On Password Attacks,EC-Council,ExpertTrackAccess,219,0
your-future-in-the-wellness-industry,Your Future in the Wellness Industry,Welltodo,ExpertTrackAccess,75,0
social-issues-and-social-impact-on-childrens-mental-well-being,Social Issues and Social Impact on Children’s Mental Well-being,Anglia Ruskin University,NoPurchase,70,0
sit735-4,SIT735.4 Email and Blockchain Security,Deakin University,NoPurchase,307,0
international-health-programmes,(SWM518.4) Health Economics: From the Individual to the International,Murdoch University,NoPurchase,36,0
introductiontorfordatascience-r,Microsoft Future Ready: Fundamentals to R for Data Science,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,34,0
dsp-digitalfundamentals-ireland,Digital Skills: Digital Fundamentals,Accenture Skills to Succeed (Ireland),NoPurchase,48,0
antimicrobial-resistance,Bacterial Genomes: Antimicrobial Resistance in Bacterial Pathogens,Wellcome Connecting Science,SponsoredAccess,18433,0
demystifying-blockchain,Introduction to Blockchain and Distributed Ledger Technology (DLT),UCL Consultants,UpgradedAccess,3593,110
study-smart,Study Smart,University of Reading,NoPurchase,12326,0
christian-muslim-relations,Christian-Muslim Relations,The University of Edinburgh,UpgradedAccess,1982,111
hass2000-4,"HASS2000.4: Being Ethical, Reasonable and Feasible",The University of Newcastle Australia,NoPurchase,202,0
information-and-technology,Understanding Information and Technology Today,University of Strathclyde,UpgradedAccess,2470,1
transforming-healthcare-business-proposal,Transforming Healthcare Business Proposal: An Introduction,Coventry University,NoPurchase,18,0
hnd702-2,HND702.2 Life with Type 1 Diabetes,Deakin University,NoPurchase,725,0
workforce-planning,Workforce Planning,Coventry University,NoPurchase,47,0
dsp-digitalfundamentals-tp,Digital Skills: Digital Fundamentals,Accenture Skills to Succeed and Tomorrow's People,NoPurchase,115,0
evidence-base-sc3,Accessing and Reviewing the Evidence: A Patient-centred Approach,Coventry University,NoPurchase,73,0
hist3006-3,HIST3006.3: Violence and the State,The University of Newcastle Australia,NoPurchase,65,0
money-finance-economy,"Money, Finance and the Economy",University of Groningen,NoPurchase,316,0
change-management,Change Management,Coventry University,NoPurchase,133,0
your-learning-community-pg,Your Learning Community (Postgraduate),University of York,SponsoredAccess,20,0
disaster-risk-reduction-development,Policies in Disaster Risk Reduction,Coventry University,NoPurchase,60,0
analysing-cross-cultural-impacts-business-reports,Analysing Cross-Cultural Impacts on Business Reports,Coventry University,NoPurchase,20,0
diplomacylaw,"International Law, Immunity and Diplomacy",Global Diplomatic Forum,SponsoredAccess,28,0
project-execution,Project Execution,Coventry University,NoPurchase,58,0
iot-security-lab,IoT Security Lab,Coventry University,NoPurchase,49,0
adh790-1,ADH790.1 Research with a Real-world Impact,Deakin University,NoPurchase,29,0
coaching5,Coaching Skills: The mental game,Deakin University,ExpertTrackAccess,61,0
the-future-of-network-defence-management-et,The Future of Network Defence Management,Coventry University,ExpertTrackAccess,26,0
critiquing-research,Data Analysis and Critical Appraisal,Anglia Ruskin University,NoPurchase,46,0
hist3640-3,HIST3640.3: Nazism in Power,The University of Newcastle Australia,NoPurchase,37,0
programming-essentials-with-python-cloud-technology-and-saas,Programming Essentials with Python: Cloud Technology and SaaS,FutureLearn,ExpertTrackAccess,27,0
independent-research-project-writing-up-c1,Independent Research Project: Writing Up (C1),Coventry University,NoPurchase,38,0
multimorbidity-case-management-oc,Multimorbidity and Case Management,Coventry University,NoPurchase,19,0
effective-communication-and-organisational-culture-c,Effective Communication and Organisational Culture (C),Coventry University,NoPurchase,57,0
7069exq-04,Experimental Research and Contemporary Issues,Coventry University,NoPurchase,78,0
fmcs3600-3,"FMCS3600.3: Radical and Reflexive Reality: Possibility, Performance, Paradox",The University of Newcastle Australia,NoPurchase,12,0
feedback-for-learning-stem,Feedback for Learning: Implementing Formative Assessment (STEM Learning),National STEM Learning Centre,SponsoredAccess,30,0
concepts-of-governance-and-institutions-in-policy-a2,Concepts of Governance and Institutions in Policy (A2),Coventry University,NoPurchase,11,0
introduction-to-data-analytics-with-python,TBC Introduction to Data analytics with Python,FutureLearn,UpgradedAccess,3,0
fashion-meets-gaming-how-luxury-fashion-brands-are-building-brand-awareness-and-equity-through-virtual-experiences,Fashion and Gaming: How Luxury Fashion Brands Use Gamification,The Hopenclass,ExpertTrackAccess,6,0
elemental-cost-planning-new-rules-measurement-c,"Elemental Cost Planning, New Rules of Measurement and Cost Administration (C)",Coventry University,NoPurchase,11,0
cyber-security-software-development-life-cycle,Cyber Security in the Software Development Life Cycle,Coventry University,NoPurchase,10,0
leading-healthcare-quality-improvement-and-organisational-effectiveness,Leading Healthcare Quality Improvement and Organisational Effectiveness,Coventry University,NoPurchase,33,0
data-science-healthcare-spanish,Data Science for Healthcare: Using Real World Evidence - Spanish,EIT,UpgradedAccess,1,0
mini-medical-school-hot-topics-in-medicine,Mini Medical School: Hot Topics in Medical Science,University of Colorado,UpgradedAccess,3,0
fashion-and-sustainability-an-introduction-to-the-climate-critical-context-and-planet-positive-action,Fashion and Sustainability: An Introduction to the Climate Critical Context and Planet Positive Action,The Sustainable Angle,UpgradedAccess,6,0
cultural-representations-death-dying,Cultural Representations of Death and Dying,The University of Glasgow,UpgradedAccess,2,0
designing-and-implementing-data-science-solution-on-azure-et2,Microsoft Future Ready: Designing and Implementing a Data Science Solution on Azure,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,14,0
what-is-a-mind-private,What Is a Mind?,University of Cape Town,NoPurchase,14,0
organisational-performance,The Impact of Employee Wellbeing on Business Performance,EIT,UpgradedAccess,4,0
tackling-antimicrobial-resistance-what-should-dentists-do,Tackling Antimicrobial Resistance: What should dentists do?,BSAC,UpgradedAccess,4,0
7125maa-02,Logistics Project Management - SC2,Coventry University,UpgradedAccess,0,0
vogelmigratie-nederlands,SUSTAIN Vogelmigratie,University of Groningen,NoPurchase,10,0
develop-in-swift-data-collections-tables-and-persistence,TBC Develop in Swift: Data Collections: Tables and Persistence,FutureLearn,UpgradedAccess,0,0
ds-retail-tag,Digital Skills: Retail (TAG),Accenture Private,SponsoredAccess,1,0
basic-english-elementary,Basic English 1: Elementary,King's College London,SponsoredAccess,627884,0
understanding-modern-business-and-organisations,Understanding Modern Business and Organisations,University of Strathclyde,UpgradedAccess,35610,105
achieving-sustainable-development,Achieving Sustainable Development,Trinity College Dublin,UpgradedAccess,14796,135
football,Football,The University of Edinburgh,UpgradedAccess,32728,104
politics-of-economics,The Politics of Economics and the Economics of Politicians,The University of Nottingham,UpgradedAccess,12716,242
eating-while-enjoying-life,Nutrition: Eating to Live Well,Taipei Medical University,UpgradedAccess,7329,191
maths-puzzles,Maths Puzzles,Davidson Institute of Science Education at the Weizmann Institute of Science,UpgradedAccess,49514,171
making-robots-move,Introducing Robotics: Making Robots Move,Queensland University of Technology,UpgradedAccess,24604,34
asian-maths-teaching-methods,World Class Maths,Macmillan Education,UpgradedAccess,13764,216
digital-skills-mobile,Digital Skills: Mobile,Accenture,SponsoredAccess,49610,0
food-science-and-nutrition,Food Science and Nutrition: From the Farm to You,University of Leeds,UpgradedAccess,7769,168
sit719-5,SIT719.5 Future Security and Privacy Issues,Deakin University,NoPurchase,886,0
technology-entrepreneurship-start-a-new-venture,Technology Entrepreneurship: How to Start a New Venture,University of Twente,UpgradedAccess,4271,65
superfoods-myths-and-truths,Superfoods: Myths and Truths,EIT Food,UpgradedAccess,14989,327
thinking-about-teaching,Becoming a Teacher,The Open University,UpgradedAccess,11661,191
slavery-in-the-british-caribbean,History of Slavery in the British Caribbean,The University of Glasgow,UpgradedAccess,12350,316
food-production-agricultural-technology-plant-biotechnology,Improving Food Production with Agricultural Technology and Plant Biotechnology,EIT Food,UpgradedAccess,8757,160
brands-communication-distribution,"Brands, Communication & Digital",Institut Français de la Mode (IFM),NoPurchase,241,0
soca2065-3,SOCA2065.3: Planet of the People,The University of Newcastle Australia,NoPurchase,213,0
sit764-2,SIT764.2 Project Execution,Deakin University,NoPurchase,998,0
what-could-a-biobased-economy-mean-for-the-future-health-of-our-planet-,Bioeconomy: How Renewable Resources Can Help the Future of Our Planet,University of York,UpgradedAccess,620,34
globalisation-drug-food-industries-oc,Globalisation of Drug and Food Industries,Coventry University,NoPurchase,77,0
designing-the-learning-journey,Designing the Learning Journey,Coventry University,NoPurchase,7,0
interpreting-reported-statistics,Interpreting Reported Statistics,Coventry University,NoPurchase,102,0
digitaldiscovery,Digital Discovery,Deakin University,UpgradedAccess,513,36
ux-design-strategy-and-application-strategy-innovation-future-of-work,"UX Design Strategy and Application: Strategy, Innovation and the Future of Work",FutureLearn,ExpertTrackAccess,35,0
querying-data-with-transact-sql-r,Microsoft Future Ready: Data Query with Transact-SQL (T-SQL),"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,16,0
introducing-the-digital-t-level,Introducing the Digital T Levels,Education and Training Foundation (ETF),SponsoredAccess,130,0
data-analytics-fundamentals,Data Analytics Fundamentals,Queen Mary University of London,NoPurchase,86,0
leaders-and-followers,Leaders and Followers,Coventry University,NoPurchase,104,0
talast-new-knowledge,Introducing new knowledge using Language Supportive Pedagogy,University of Bristol,SponsoredAccess,48,0
cryptography-and-digital-certificates-et,Cryptography and Digital Certificates,Coventry University,ExpertTrackAccess,45,0
the-health-ministers-dilemma,The Health Minister’s Dilemma,The University of Glasgow,NoPurchase,67,0
systems-thinking-for-sustainability-framework-for-integrated-development,Systems Thinking for Sustainability: Practical application of the SiD method,Except Integrated Sustainability ,ExpertTrackAccess,37,0
children-as-consumers,Children as consumers: Marketing to the youth 3rd Run,Hong Kong Baptist University,NoPurchase,113,0
digital-marketing-storytelling-in-the-new-communication-landscape,Digital Marketing,Ravensbourne University London,SponsoredAccess,52,0
meaning-emergency-preparedeness,Understanding Emergency Preparedness,Coventry University,NoPurchase,134,0
changing-world-work,The Changing World of Work,"Institute for Employment Research, University of Warwick",NoPurchase,181,0
the-implications-of-the-concept-of-equity-in-health-policy,The Implications of the Concept of Equity in Health Policy,Coventry University,NoPurchase,36,0
neli-support-hub,NELI Delivery Support Hub,"The Department of Education, University of Oxford",NoPurchase,9857,0
psychische-gezondheid-jongeren,Jongeren en hun psychische gezondheid,University of Groningen,UpgradedAccess,1300,5
nursing-in-crisis,Nursing in Crisis? Exploring Current Challenges,Coventry University,UpgradedAccess,3520,53
